canonical_name_en,canonical_name_he,category,muscle_group_primary,equipment,is_active
Arnold Press (Dumbbell),לחיצת ארנולד עם משקולות יד,shoulders,Shoulders,dumbbell,true
Around The World,תנועת ״מסביב לעולם״ עם משקולות יד,chest,Chest,dumbbell,true
Bench Press (Dumbbell),לחיצת חזה עם משקולות יד,chest,Chest,dumbbell,true
Bent Over Row (Dumbbell),חתירה בכפיפה עם משקולות יד,back,Upper Back,dumbbell,true
Bicep Curl (Dumbbell),כפיפת מרפקים עם משקולות יד,arms,Biceps,dumbbell,true
Bulgarian Split Squat,ספליט סקוואט בולגרי,legs,Quadriceps,dumbbell,true
Chest Fly (Dumbbell),פרפר חזה עם משקולות יד,chest,Chest,dumbbell,true
Chest Supported Incline Row (Dumbbell),חתירה בשיפוע בתמיכת חזה עם משקולות יד,back,Upper Back,dumbbell,true
Air Bike,אופני אוויר (Air Bike),cardio,Cardio,machine,true
Back Extension (Hyperextension),פשיטת גב (היפראקסטנשן),back,Lower Back,machine,true
Back Extension (Machine),פשיטת גב במכונה,back,Lower Back,machine,true
Back Extension (Weighted Hyperextension),פשיטת גב עם משקל (היפראקסטנשן),back,Lower Back,machine,true
Battle Ropes,חבלי קרב,cardio,Cardio,machine,true
Behind the Back Curl (Cable),כפיפת מרפקים בכבל מאחורי הגב,arms,Biceps,machine,true
Belt Squat (Machine),סקוואט חגורה במכונה,legs,Quadriceps,machine,true
Bench Press (Cable),לחיצת חזה בכבלים,chest,Chest,machine,true
Bench Press (Smith Machine),לחיצת חזה במכונת סמית׳,chest,Chest,machine,true
Bicep Curl (Cable),כפיפת מרפקים בכבל,arms,Biceps,machine,true
Bicep Curl (Machine),כפיפת מרפקים במכונה,arms,Biceps,machine,true
Butterfly (Pec Deck),פרפר חזה במכונת פק־דק,chest,Chest,machine,true
Cable Core Pallof Press,לחיצת פאלוף בכבל,core,Abdominals,machine,true
Cable Crunch,כפיפות בטן בכבל,core,Abdominals,machine,true
Cable Fly Crossovers,קרוסאובר בכבלים,chest,Chest,machine,true
Cable Pull Through,משיכת כבל בין הרגליים (Pull-Through),legs,Glutes,machine,true
Cable Twist (Down to up),סיבוב גו בכבל מלמטה למעלה,core,Abdominals,machine,true
Standing Military Press (Barbell),לחיצת כתפיים צבאית בעמידה עם מוט,shoulders,Shoulders,barbell,true
Straight Leg Deadlift,דדליפט ברגליים ישרות,legs,Hamstrings,barbell,true
Sumo Deadlift,דדליפט סומו,legs,Glutes,barbell,true
Sumo Squat (Barbell),סקוואט סומו עם מוט,legs,Quadriceps,barbell,true
T Bar Row,חתירת T-Bar,back,Upper Back,barbell,true
Thruster (Barbell),ת׳ראסטר עם מוט,full_body,Full Body,barbell,true
Triceps Extension (Barbell),פשיטת מרפקים עם מוט,arms,Triceps,barbell,true
Upright Row (Barbell),חתירה אנכית עם מוט,shoulders,Shoulders,barbell,true
Zercher Squat,סקוואט זרצ׳ר,legs,Quadriceps,barbell,true
Single Arm Landmine Press (Barbell),לחיצת לנדמיין ביד אחת עם מוט,shoulders,Shoulders,barbell,true
Single Leg Romanian Deadlift (Barbell),דדליפט רומני על רגל אחת עם מוט,legs,Hamstrings,barbell,true
Single Leg Standing Calf Raise (Barbell),עליית עקב בעמידה על רגל אחת עם מוט,legs,Calves,barbell,true
Skullcrusher (Barbell),פשיטת מרפקים בשכיבה (סקאל קראשר) עם מוט,arms,Triceps,barbell,true
Snatch,סנאץ׳,full_body,Full Body,barbell,true
Spider Curl (Barbell),כפיפת מרפקים ספיידר עם מוט,arms,Biceps,barbell,true
Split Jerk,ספליט ג׳רק,full_body,Full Body,barbell,true
Squat (Barbell),סקוואט עם מוט,legs,Quadriceps,barbell,true
Standing Calf Raise (Barbell),עליות עקב בעמידה עם מוט,legs,Calves,barbell,true
Press Under,פרס אנדר,full_body,Full Body,barbell,true
Push Press,פוש פרס,shoulders,Shoulders,barbell,true
Rack Pull,ראק פול,back,Upper Back,barbell,true
Reverse Curl (Barbell),כפיפת מרפקים באחיזה הפוכה עם מוט,arms,Biceps,barbell,true
Reverse Lunge (Barbell),לאנג׳ לאחור עם מוט,legs,Quadriceps,barbell,true
Romanian Deadlift (Barbell),דדליפט רומני עם מוט,legs,Hamstrings,barbell,true
Seated Overhead Press (Barbell),לחיצת כתפיים מעל הראש בישיבה עם מוט,shoulders,Shoulders,barbell,true
Seated Wrist Extension (Barbell),פשיטת שורש כף היד בישיבה עם מוט,arms,Forearms,barbell,true
Shrug (Barbell),הרמת כתפיים עם מוט,back,Traps,barbell,true
